ParticipantName	PresentationSequence	MediaName	RecordingTimestamp	StudioEventIndex	GazePointX (ADCSpx)	GazePointY (ADCSpx)	ValidityLeft	ValidityRight	
P72	7	Flip_B2_G1.wmv	4763		905	547	0	0	
P72	7	Flip_B2_G1.wmv	4780		1041	565	0	0	
P72	7	Flip_B2_G1.wmv	4796		1054	568	0	0	
P72	7	Flip_B2_G1.wmv	4813		1063	578	0	0	
P72	7	Flip_B2_G1.wmv	4829		1061	574	0	0	
P72	7	Flip_B2_G1.wmv	4846		1061	577	0	0	
P72	7	Flip_B2_G1.wmv	4863		1075	575	0	0	
P72	7	Flip_B2_G1.wmv	4879		1061	577	0	0	
P72	7	Flip_B2_G1.wmv	4896		1062	573	0	0	
P72	7	Flip_B2_G1.wmv	4913		1062	578	0	0	
P72	7	Flip_B2_G1.wmv	4929		1061	577	0	0	
P72	7	Flip_B2_G1.wmv	4946		1061	579	0	0	
P72	7	Flip_B2_G1.wmv	4963		1073	579	0	0	
P72	7	Flip_B2_G1.wmv	4979		1087	579	0	0	
P72	7	Flip_B2_G1.wmv	4996		1098	590	0	0	
P72	7	Flip_B2_G1.wmv	5013		1105	591	0	0	
P72	7	Flip_B2_G1.wmv	5029		1102	596	0	0	
P72	7	Flip_B2_G1.wmv	5046		1100	598	0	0	
P72	7	Flip_B2_G1.wmv	5063		1101	596	0	0	
P72	7	Flip_B2_G1.wmv	5079		1103	593	0	0	
P72	7	Flip_B2_G1.wmv	5096		1099	596	0	0	
P72	7	Flip_B2_G1.wmv	5113		1098	599	0	0	
P72	7	Flip_B2_G1.wmv	5129		1099	597	0	0	
P72	7	Flip_B2_G1.wmv	5146		1099	595	0	0	
P72	7	Flip_B2_G1.wmv	5163		1099	597	0	0	
P72	7	Flip_B2_G1.wmv	5179		1097	598	0	0	
P72	7	Flip_B2_G1.wmv	5196		1096	602	0	0	
P72	7	Flip_B2_G1.wmv	5213		1099	600	0	0	
P72	7	Flip_B2_G1.wmv	5229		1099	597	0	0	
P72	7	Flip_B2_G1.wmv	5246		1098	598	0	0	
P72	7	Flip_B2_G1.wmv	5262		1097	596	0	0	
P72	7	Flip_B2_G1.wmv	5279		1097	604	0	0	
P72	7	Flip_B2_G1.wmv	5296		1096	599	0	0	
P72	7	Flip_B2_G1.wmv	5312		1097	599	0	0	
P72	7	Flip_B2_G1.wmv	5329		1094	605	0	0	
P72	7	Flip_B2_G1.wmv	5346		1096	603	0	0	
P72	7	Flip_B2_G1.wmv	5362		1097	600	0	0	
P72	7	Flip_B2_G1.wmv	5379		1100	596	0	0	
P72	7	Flip_B2_G1.wmv	5396		1098	599	0	0	
P72	7	Flip_B2_G1.wmv	5412		1097	601	0	0	
P72	7	Flip_B2_G1.wmv	5429		1097	601	0	0	
P72	7	Flip_B2_G1.wmv	5446		1097	596	0	0	
P72	7	Flip_B2_G1.wmv	5462		1099	601	0	0	
P72	7	Flip_B2_G1.wmv	5479		1094	601	0	0	
P72	7	Flip_B2_G1.wmv	5496		985	580	0	0	
P72	7	Flip_B2_G1.wmv	5512		791	554	0	0	
P72	7	Flip_B2_G1.wmv	5529		657	539	0	0	
P72	7	Flip_B2_G1.wmv	5546		663	522	0	0	
P72	7	Flip_B2_G1.wmv	5562		635	528	0	0	
P72	7	Flip_B2_G1.wmv	5579		636	522	0	0	
P72	7	Flip_B2_G1.wmv	5596		635	531	0	0	
P72	7	Flip_B2_G1.wmv	5612		635	522	0	0	
P72	7	Flip_B2_G1.wmv	5629		636	523	0	0	
P72	7	Flip_B2_G1.wmv	5646		635	531	0	0	
P72	7	Flip_B2_G1.wmv	5662		651	539	0	0	
P72	7	Flip_B2_G1.wmv	5679		635	534	0	0	
P72	7	Flip_B2_G1.wmv	5695		639	532	0	0	
P72	7	Flip_B2_G1.wmv	5712		638	533	0	0	
P72	7	Flip_B2_G1.wmv	5729		635	531	0	0	
P72	7	Flip_B2_G1.wmv	5745		637	533	0	0	
